Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.6    0.12        0.15        0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.2         0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.25        0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.3         0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.35        0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.4         0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.45        0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.5         0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.55        0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.6         0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.65        0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.7         0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.75        0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.8         0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.85        0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.9         0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        0.95        0.8657    0.7670    0.8134    767     886         1000      
-0.6    0.12        1.0         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.0         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.05        0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.1         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.15        0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.2         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.25        0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.3         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.35        0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.4         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.45        0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.5         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.55        0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.6         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.65        0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.7         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.75        0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.8         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.85        0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.9         0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        0.95        0.8657    0.7670    0.8134    767     886         1000      
-0.5    0.12        1.0         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.0         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.05        0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.1         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.15        0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.2         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.25        0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.3         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.35        0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.4         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.45        0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.5         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.55        0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.6         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.65        0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.7         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.75        0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.8         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.85        0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.9         0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        0.95        0.8657    0.7670    0.8134    767     886         1000      
-0.4    0.12        1.0         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.0         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.05        0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.1         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.15        0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.2         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.25        0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.3         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.35        0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.4         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.45        0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.5         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.55        0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.6         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.65        0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.7         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.75        0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.8         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.85        0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.9         0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        0.95        0.8657    0.7670    0.8134    767     886         1000      
-0.3    0.12        1.0         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.0         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.05        0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.1         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.15        0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.2         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.25        0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.3         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.35        0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.4         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.45        0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.5         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.55        0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.6         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.65        0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.7         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.75        0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.8         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.85        0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.9         0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        0.95        0.8657    0.7670    0.8134    767     886         1000      
-0.2    0.12        1.0         0.8657    0.7670    0.8134    767     886         1000      
-1.0    0.08        0.0         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.05        0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.1         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.15        0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.2         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.25        0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.3         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.35        0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.4         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.45        0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.5         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.55        0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.6         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.65        0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.7         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.75        0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.8         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.85        0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.9         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        0.95        0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.08        1.0         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.0         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.05        0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.1         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.15        0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.2         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.25        0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.3         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.35        0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.4         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.45        0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.5         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.55        0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.6         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.65        0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.7         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.75        0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.8         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.85        0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.9         0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        0.95        0.8654    0.7650    0.8121    765     884         1000      
-0.9    0.08        1.0         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.0         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.05        0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.1         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.15        0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.2         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.25        0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.3         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.35        0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.4         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.45        0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.5         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.55        0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.6         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.65        0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.7         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.75        0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.8         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.85        0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.9         0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        0.95        0.8654    0.7650    0.8121    765     884         1000      
-0.8    0.08        1.0         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.0         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.05        0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.1         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.15        0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.2         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.25        0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.3         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.35        0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.4         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.45        0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.5         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.55        0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.6         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.65        0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.7         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.75        0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.8         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.85        0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.9         0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        0.95        0.8654    0.7650    0.8121    765     884         1000      
-0.7    0.08        1.0         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.0         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.05        0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.1         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.15        0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.2         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.25        0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.3         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.35        0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.4         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.45        0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.5         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.55        0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.6         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.65        0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.7         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.75        0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.8         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.85        0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.9         0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        0.95        0.8654    0.7650    0.8121    765     884         1000      
-0.6    0.08        1.0         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.0         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.05        0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.1         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.15        0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.2         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.25        0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.3         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.35        0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.4         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.45        0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.5         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.55        0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.6         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.65        0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.7         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.75        0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.8         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.85        0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.9         0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        0.95        0.8654    0.7650    0.8121    765     884         1000      
-0.5    0.08        1.0         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.0         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.05        0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.1         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.15        0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.2         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.25        0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.3         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.35        0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.4         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.45        0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.5         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.55        0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.6         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.65        0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.7         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.75        0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.8         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.85        0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.9         0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        0.95        0.8654    0.7650    0.8121    765     884         1000      
-0.4    0.08        1.0         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.0         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.05        0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.1         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.15        0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.2         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.25        0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.3         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.35        0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.4         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.45        0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.5         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.55        0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.6         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.65        0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.7         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.75        0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.8         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.85        0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.9         0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        0.95        0.8654    0.7650    0.8121    765     884         1000      
-0.3    0.08        1.0         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.0         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.05        0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.1         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.15        0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.2         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.25        0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.3         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.35        0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.4         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.45        0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.5         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.55        0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.6         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.65        0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.7         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.75        0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.8         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.85        0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.9         0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        0.95        0.8654    0.7650    0.8121    765     884         1000      
-0.2    0.08        1.0         0.8654    0.7650    0.8121    765     884         1000      
-1.0    0.1         0.0         0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.05        0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.1         0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.15        0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.2         0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.25        0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.3         0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.35        0.8647    0.7670    0.8129    767     887         1000      
